location,plot,species,latitude,longitude,elevation_m,,
"Woodland Hills, UT",,Bigtooth maple,40.011556,-111.647472,1752,,
"Wasatch Mountain State Park, Midway, UT",,Bigtooth maple,40.546942,-111.50447,1846,,
"Emigration Canyon, Salt Lake City, UT",,Bigtooth maple,40.798611,-111.7425,1974,,
"Paradise, UT",Plot 1,Bigtooth maple,41.568558,-111.888267,1564,,
"Paradise, UT",Plot 2,Bigtooth maple,41.559674,-111.881106,1579,,
"Hunsvilee, UT",,Bigtooth maple,41.249308,-111.807122,1572,,
"Wellsville, UT",,Bigtooth maple,41.576806,-111.920694,1583,,
"Mendon, UT",,Bigtooth maple,41.722011,-112.030348,1819,,
"Smithfield Canyon, UT",,Bigtooth maple,41.869444,-111.757222,1649,,
"Oxford, ID",Plot 1,Bigtooth maple,42.275833,-112.0525,1660,,
"Oxford, ID",Plot 2,Bigtooth maple,42.262222,-112.035278,1556,,
"Cub River, ID",Plot 1,Bigtooth maple,42.121219,-111.713037,1550,,
"Cub River, ID",Plot 2,Boxelder,42.080331,-111.753148,1442,,
"Missoula, MT",,Norway maple,46.869333,-114.013111,1529,,
South Dakota,,Boxelder,44.316,-96.770278,503,,
North Dakota,,Boxelder,47.58963454,-101.4231076,575,,
"Idabel, Oklahoma",,Sugar maple,33.909988,-94.811928,137,,
"Talihina, Oklahoma",,Sugar maple,34.750411,-95.05426,209,,
"Wyandotte, Oklahoma",,Sugar maple,36.808661,-94.713297,260,,
"Taos, New Mexico",,Boxelder,36.508381,-105.745845,2142,,
